corpus_id,entry_no,definition,present,present_1sg,imperfective,perfective,imperative,infinitive
342,349,he/she is putting his/her hat on,alhskwethuhvhsk,kalihskwethuhvhsk,alhskwethuhvhsk,ulhskwethunh,halhskwethuhvka,ulhskwethuhst
344,351,he/she is setting a goal,alhsohstih,kalihsohstih,alhsohstihsk,ulhsohsthan,halhsohsta,ulhsohstoht
345,352,he/she is smelling it,alhsvhstih,kalihsvhstih,alhsvhstihsk,ulhsvhsthan,halhsvhsta,ulhsvhstoht
355,362,they are gathering,anatalhihsih,otsatalhihsih,anatalhihsihsk,unatalhihsanh,itsatalhihsa,unatalhihsoht
356,363,it’s lightning,anakalih,,anakalihsk,unakalvh,,
359,366,they are getting together,analikohvhsk,otsalikohvhsk,analikohvhsk,unalikonh,itsalikohvka,unalikht
361,368,he/she is attempting it,anelhtih,kanelhtih,anelhtihsk,unelhthan,hanelhta,unelhtoht
362,369,he is getting married,anelati',kanelati',anelatihsk,unelat,hanelata,unelatihst
363,370,he/she is remembering him/her,anhtati',tsiyanvtati',anhtatihsk,unhtat,hiyanvtata,unhtatihst
365,372,they are standing,anitona',otsitona',anitona',anitona',,
366,373,they are asleep,anilhin,otsilhin,anilhin,,,
367,374,they are sitting,ani'n,otsi'n,ani'n,ani'n,,
373,380,he/she is setting a trap,ahsatvhsk,tsihsatvhsk,ahsatvhsk,uhsatvn,hihsatv'vka,uhsatvt
374,381,he/she is lifting him/her,ahsalati',tsihsalati',ahsalatihsk,uhsalatan,hihsalatvka,uhsalatot
377,384,he/she is making it crisp,ahstakayhtih,tsihstakayhtih,ahstakayhtihsk,uhstakayhthan,hihstakayhta,uhstakayhtoht
378,385,it’s becoming crisp,ahstakayvhih,,ahstakayvhih,uhstakayvlh,,
380,387,he/she is drawing a line,ahstanvnhvhsk,tsihstanvnhvhsk,ahstanvnhvhsk,uhstanvnhan,hihstanvnhvka,uhstanvnht
381,388,he/she is following him/her,ahstawatek,tsihstawatek,ahstawatek,uhstawatvhs,hihstawatuka,uhstawatvhst
382,389,he/she is helping him/her,ahstelih,tsihstelih,ahstelihsk,uhstelvh,hihstela,uhstelht
383,390,he/she is braiding it,ahsteyoh,tsihsteyoh,ahsteyoh,uhsteyol,hihsteyaka,uhsteyot
384,391,he/she is eating it,ahstiki',tsihstiki',ahstikihsk,uhstik,hihstika,uhstikihst
386,393,he/she is crushing it,ahsto',tsihsto',ahstohsk,uhsto',hihstotsa,uhstohst
388,395,he/she is trimming it,ahstoyeh,tsihstoyeh,ahstoyehsk,uhstoyeh,hihstoya,uhstoyht
389,396,he/she is closing it,ahstuhvhsk,tsihstuhvhsk,ahstuhvhsk,uhstunh,hihstuhvka,uhstut
390,397,he/she is opening it,ahstu'i',tsihstu'i',ahstu'ihsk,uhstu'ihs,hihstu'i,uhstu'ihst
392,399,he/she is sandwiching it,ahstvhalhvhsk,tsihstvhalhvhsk,ahstvhalhvhsk,uhstvhalhan,hihstvhalhvka,uhstvhalht
395,402,he/she is showing him/her,ahseheh,tsiyahseheh,ahseheh,uhsehel,hiyahsehihsi,uhsheht
397,404,he/she is including him/her,ahsehstih,tsiyahsehstih,ahsehstihsk,uhsehsthan,hiyahsehsta,uhsehstoht
398,405,he/she is withdrawing,ahsehsih,kahsehsih,ahsehsihsk,uhsehsvh,hahsehsa,uhsehsvht
400,407,he/she is reprimanding him/her,ahskak,tsihskak,ahskak,uhskats,hihskaki,uhskayhst
401,408,he/she is afraid,ahskah,tsihskah,ahskah,uhskal,hihskaya,uhskahst
402,409,he/she is biting him/her,ahskalhk,tsihskalhk,ahskalhk,uhskalhts,hihskala,uhskalhst
405,412,he/she is committing a crime,ahskanvk,tsihskanvk,ahskanvk,uhskanvts,hihskanvki,uhskanvyhst
410,417,he/she is dreaming about him/her,ahskitsk,tsiyahskitsk,ahskitsk,uhskits,hiyahskitsa,uhskitst
411,418,he/she is gnawing it,ahskoki',tsihskoki',ahskokihsk,uhskok,hihskoka,uhskokihst
412,419,he/she is mourning for him/her,ahskonhih,tsihskonhih,ahskonhih,uhskonhil,hihskonhka,uhskonhst
413,420,he/she is rubbing him/her,ahskoliye',tsiyahskoliye',ahskoliyehsk,uhskoliye',hiyahskoliya,uhskoliyet
414,421,he/she is erasing it,ahskolvti',tsihskolvti',ahskolvtihsk,uhskolvti'i,hihskolvta,uhskolvtihst
416,423,it’s fading,ahskolvk,,ahskolvk,uhskolvts,,uhskolvyhst
417,424,he/she is digging it,ahskohsk,kahskohsk,ahskohsk,uhskohs,hahskola,uhskohst
419,426,he/she is finishing it,ahskwati',tsihskwati',ahskwatihsk,uhskwat,hihskwata,uhskwatihst
421,428,he/she is catching him/her,ahskwalhe',tsihskwalhe',ahskwalhehsk,uhskwalhehs,hihskwalhaki,uhskwalhehst
