corpus_id,entry_no,definition,singular,plural,animate
612,1491,Tuesday,Ta'line Ika,,
613,1492,can,thalukihski,,
614,1493,welder,thalukihski tikhanvwihski,thalukihski tininhvwihski,
615,1494,solder,thalukihski tikhanvwotohti,,
616,1495,basket,thalutsa,tithalutsa,
617,1496,tomato,thamalhi,,
618,1497,hawk,thawoti,,
619,1498,toad,thehka,,
620,1499,louse,thina,,
621,1500,lizard,thiyoha'li,,
622,1501,eel,tlhvtekwa,,
623,1505,redbird,thotsuwha,,
624,1506,grasshopper,tholatska,,
625,1507,ghost,tskili,anitskili,
626,1508,bug,tskoya,,
627,1509,whippoorwill,tskwalekwala,,
628,1511,tonsils,thuletsi,,
629,1512,boil (refers to a sore),thuhsti,,
630,1513,beans,thuya,,
631,1514,housefly,thvhka,,
632,1518,ordained minister,utanhilake'i,unatanhilake'i,
633,1519,oldest member of a family,utanhilake'i,unatanhilake'i,
634,1521,bad omen,utalehi,,
635,1522,his/her wife,utali'i,tsunatali'i,
636,1524,store owner,utana'ni,unatana'ni,
637,1526,puddle,utanehv'i,tutanehv'i,
638,1527,his/her heart,utanhto,,
639,1532,a long distance,utanvhita,,
640,1533,row,utanvnhv'i,tutanvnhv'i,
641,1534,punishment,utahstvtihsti,,
642,1538,pitcher (where object is a ball),uteki,unateki,
643,1539,embarrassment,utehohihsti,,
644,1541,ditch,utelihskalvhv'i,tutelihskalvhv'i,
645,1543,bolt,utikwalvteyita,tsutikwalvteyita,
646,1548,his/her navel,utiyvta'tv'i,,
647,1552,non-believer,utlahsithv'ehi,unatlahsithv'ehi,
