corpus_id,entry_no,definition,prediction,class,post_root_morpheme,present,present_1sg,imperfective,perfective,imperative,infinitive
171,177,he/she is having a nightmare,FullEventful,rev-i,,alhik,katlik,alhik,ulhik,halhik,ulhik
172,178,it’s taking time,FullEventful,be-at,,alhi'ilit,,alhi'ilit,ulhi'ilit,,ulhi'ilit
172,178,it’s taking time,FullEventful,oh-ol[inf2],,alhi'ilit,,alhi'ilit,ulhi'ilit,,ulhi'ilita
172,178,it’s taking time,FullEventful,oh-ol[inf3],,alhi'ilit,,alhi'ilit,ulhi'ilit,,ulhi'ilit
172,178,it’s taking time,FullStative,stative,,alhi'ilitoh,,alhi'ilitoh,ulhi'ilitol,,
172,178,it’s taking time,InfEventful,a,,,,,,,ulhi'ilit
172,178,it’s taking time,InfEventful,g-ts,,,,,,,ulhi'ilita
172,178,it’s taking time,InfEventful,sg-s-hst,,,,,,,ulhi'ilita
172,178,it’s taking time,InfEventful,sk-h,,,,,,,ulhi'ilita
172,178,it’s taking time,InfEventful,hih-lh,,,,,,,ulhi'ilita
172,178,it’s taking time,InfEventful,be-at,,,,,,,ulhi'ilit
172,178,it’s taking time,InfEventful,oh-al,,,,,,,ulhi'ilita
