corpus_id,prediction,definition,furthest_corpus
344,FullEventful,he/she is setting a goal,3.validated
345,FullEventful,he/she is smelling it (refers to sniffing),3.validated
355,FullEventful,they are gathering,3.validated
356,FullEventful,it’s lightning,3.validated
359,FullEventful,they are getting together,3.validated
361,FullEventful,he/she is attempting it,3.validated
362,FullEventful,he is getting married,3.validated
363,FullEventful,he/she is remembering him/her,3.validated
365,FullStative,they are standing (refers to a congregation),3.validated
366,FullEventful,they are asleep (refers to more than two),3.validated
373,FullEventful,he/she is setting a trap,3.validated
374,FullEventful,he/she is lifting him/her,3.validated
377,FullEventful,he/she is making it crisp,3.validated
378,FullEventful,it’s becoming crisp,3.validated
380,FullEventful,he/she is drawing a line,3.validated
381,FullEventful,he/she is following him/her,3.validated
382,FullEventful,he/she is helping him/her,3.validated
383,FullEventful,he/she is braiding it,3.validated
384,FullEventful,he/she is eating it (refers to a long object),3.validated
386,FullEventful,he/she is crushing it,3.validated
388,FullEventful,he/she is trimming it (refers to hair‚ grass‚ hedge; but not paper‚ cloth),3.validated
39,FullEventful,he/she is thinking,3.validated
390,FullEventful,he/she is opening it,3.validated
392,FullEventful,he/she is sandwiching it,3.validated
397,FullEventful,he/she is including him/her (refers to in counting),3.validated
398,FullEventful,he/she is withdrawing (refers to a motion),3.validated
4,FullEventful,it’s bouncing,3.validated
400,FullEventful,he/she is reprimanding him/her,3.validated
405,FullEventful,he/she is committing a crime,3.validated
41,FullEventful,he/she is pondering,3.validated
411,FullEventful,he/she is gnawing it,3.validated
412,FullEventful,he/she is mourning for him/her,3.validated
413,FullEventful,he/she is rubbing him/her,3.validated
416,FullEventful,it’s fading,3.validated
417,FullEventful,he/she is digging it,3.validated
419,FullEventful,he/she is finishing it,3.validated
421,FullEventful,he/she is catching him/her (refers to a falling person or object),3.validated
423,FullEventful,it’s getting shorter,3.validated
424,FullEventful,he/she is breaking it (refers to a long object),3.validated
425,FullEventful,he/she is hitting him/her on the head with it (refers to a long object),3.validated
427,FullEventful,he/she is amazed,3.validated
429,FullEventful,he/she is hitting him/her on the abdomen with it (refers to a long object),3.validated
43,FullEventful,he/she is crawling,3.validated
430,FullEventful,he/she is placing his/her hand on him/her,3.validated
431,FullEventful,he/she is slapping him/her,3.validated
432,FullEventful,he/she is backing up,3.validated
436,FullEventful,he/she is roping him/her,3.validated
437,FullEventful,he/she is building a fence,3.validated
439,FullEventful,he/she is waving his/her hand,3.validated
44,FullEventful,it’s twisting,3.validated
440,FullEventful,he/she is pressing down on him/her,3.validated
441,FullEventful,he/she is wounding him/her,3.validated
444,FullEventful,he/she is fishing,3.validated
445,FullEventful,he/she is painting it,3.validated
446,FullEventful,he/she is changing his/her pants,3.validated
447,FullEventful,he/she is taking his/her pants off,3.validated
448,FullEventful,he/she is putting his/her pants on,3.validated
449,FullEventful,he/she is quitting,3.validated
452,FullEventful,he/she is choosing him/her,3.validated
453,FullEventful,he/she is stirring it,3.validated
454,FullEventful,he/she is mixing it in,3.validated
455,FullEventful,it smells,3.validated
458,FullEventful,he/she is touching him/her,3.validated
459,FullEventful,he/she is drinking it up,3.validated
46,FullEventful,he/she is ordering it,3.validated
463,FullEventful,he/she is holding his/her breath,3.validated
464,FullEventful,he/she is mooring a boat,3.validated
467,FullEventful,it’s steaming,3.validated
469,FullEventful,it’s exploding,3.validated
472,FullEventful,he/she is kissing him/her,3.validated
474,FullEventful,he/she is asking for it,3.validated
477,FullEventful,he/she is shaking him/her,3.validated
479,FullEventful,he/she is leading him/her,3.validated
48,FullEventful,he/she is cooking a meal,3.validated
480,FullEventful,he/she is arguing,3.validated
483,FullEventful,he/she is racing,3.validated
486,FullEventful,he/she is loaning it to him/her,3.validated
487,FullEventful,he/she is borrowing him/her,3.validated
488,FullEventful,it’s flashing (refers to reflected light),3.validated
489,FullEventful,he/she is taking a bite,3.validated
490,FullEventful,he/she is lying,3.validated
491,FullEventful,he/she is taking a drink (refers to alcoholic beverage),3.validated
493,FullEventful,he/she is promising,3.validated
494,FullEventful,he/she is listening to him/her,3.validated
495,FullEventful,he/she is asking him/her a question,3.validated
496,FullEventful,he/she hears him/her,3.validated
497,FullEventful,he/she is raising him/her,3.validated
498,FullEventful,he/she is growing,3.validated
5,FullEventful,he/she is limping,3.validated
502,FullEventful,he/she is inside,3.validated
507,FullEventful,he/she is waking up,3.validated
509,FullEventful,he/she is waking him/her up,3.validated
51,FullEventful,it’s burning (refers to flames),3.validated
511,FullEventful,he/she is putting him/her inside (refers to somewhere large enough to move around in),3.validated
513,FullEventful,he/she is getting it (refers to a long object),3.validated
515,FullEventful,it’s breaking,3.validated
516,FullEventful,he/she is shooting him/her,3.validated
519,FullEventful,he/she is whittling it,3.validated
523,FullEventful,he/she is greeting him/her,3.validated
524,FullEventful,he/she is breaking it,3.validated
526,FullEventful,he/she is destroying it,3.validated
529,FullEventful,he/she is entering it,3.validated
530,FullEventful,he/she is finding it (refers to a long object),3.validated
531,FullEventful,he/she is taking it somewhere (refers to a long object),3.validated
539,FullEventful,he/she is making an X,3.validated
54,FullEventful,he/she is resting,3.validated
541,FullEventful,he/she is conjuring,3.validated
542,FullEventful,he/she is accepting him/her,3.validated
543,FullEventful,he/she is dodging,3.validated
544,FullEventful,he/she is performing baptism,3.validated
545,FullEventful,he/she is giving up,3.validated
547,FullEventful,he/she is weeping,3.validated
550,FullEventful,he/she is setting a price,3.validated
552,FullEventful,he/she is rocking,3.validated
553,FullEventful,he/she is drawing a picture of him/her,3.validated
554,FullEventful,he/she is conversing,3.validated
555,FullEventful,he/she is jumping,3.validated
557,FullEventful,he/she is changing clothes,3.validated
558,FullEventful,he/she is undressing,3.validated
559,FullEventful,he/she is putting on clothes,3.validated
56,FullEventful,he/she is bathing,3.validated
561,FullEventful,he/she is putting fuel into a fire (refers to solid fuel),3.validated
562,FullEventful,he/she is tickling him/her,3.validated
565,FullEventful,he/she is tying it,3.validated
566,FullEventful,he/she is untying it,3.validated
567,FullEventful,he/she is looking after him/her,3.validated
568,FullEventful,he/she is becoming blind,3.validated
571,FullEventful,he/she is making smoke,3.validated
573,FullEventful,he/she is closing his eyes,3.validated
574,FullEventful,he/she is attacking him/her,3.validated
575,FullEventful,he/she is taking off his/her glasses,3.validated
576,FullEventful,he/she is putting on glasses,3.validated
577,FullEventful,he/she is shelling corn,3.validated
578,FullEventful,he/she is snoring,3.validated
582,FullEventful,he/she is putting on shoes,3.validated
